beer_id|Name|style|abv|brewery_id
47986|Sausa Weizen|Hefeweizen|5|10325
48213|Red Moon|English Strong Ale|6.2|10325
48215|Black Horse Black Beer|Foreign / Export Stout|6.5|10325
47969|Sausa Pils|German Pilsener|5|10325
64883|Cauldron DIPA|American Double / Imperial IPA|7.7|1075
52159|Caldera Ginger Beer|Herbed / Spiced Beer|4.7|1075
436|Amstel Light|Light Lager|3.5|163
10789|Caldera Oatmeal Stout|Oatmeal Stout|7.2|1075
12386|Caldera OBF 15|American Pale Lager|5.6|1075
58046|Rauch Ür Bock|Rauchbier|7.4|1075
25414|Caldera Pale Ale|American Pale Ale (APA)|5.5|1075
10788|Pilot Rock Porter|American Porter|5.8|1075
58920|Vas Deferens Ale|Belgian Strong Dark Ale|8.1|1075
10784|Caldera IPA|American IPA|6.1|1075
21241|Cauldron Espresso Stout|American Stout|NA|1075
20818|Old Growth Imperial Stout|Russian Imperial Stout|8.8|1075
10786|Dry Hop Red|American Amber / Red Ale|5.7|1075
10794|Southside Strong|American Strong Ale|7|1075
54330|Caldera Märzen|Märzen / Oktoberfest|6.3|1075
20817|Lawnmower Lager|American Adjunct Lager|3.9|1075
61427|Caldera Rose Petal (Kettle Series)|American Blonde Ale|6.7|1075
3386|Amstel Bright|Euro Pale Lager|5|163
55097|Nut Brown|English Brown Ale|4.7|1454
2780|The Captain's Porter|American Porter|6|850
20689|The Highland Stagger|Scotch Ale / Wee Heavy|NA|850
2725|Swamp Fox IPA|American IPA|5.8|850
33624|Hoppin' To Heaven IPA|American IPA|6.8|14879
56071|Hopportunity Knocks|American IPA|6.8|1075
10785|Ashland Amber|American Amber / Red Ale|5.4|1075
76963|Coconut Porter|American Porter|9.5|1075
23290|Dry Hop Orange|American Amber / Red Ale|5.6|1075
49803|Kirner Pils Premium|German Pilsener|4.8|7345
54723|Alpha Beta|American IPA|NA|1075
3274|Caldera Pilsener Bier|German Pilsener|5.2|1075
60951|Hibiscus Ginger Beer|Fruit / Vegetable Beer|4.7|1075
37917|Exotic Erotic Passion Fruit Ale|Fruit / Vegetable Beer|5|1075
47695|Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout|Russian Imperial Stout|9.4|14879
42964|Imperial Stout|American Double / Imperial Stout|NA|1075
10793|Cauldron Brew|American Strong Ale|7.6|1075
2724|Inspiration Ale|Belgian Pale Ale|6|850
72330|Hop Hash|American Pale Ale (APA)|7|1075
60990|Mogli|American Porter|8.5|1075
45543|Welsh Pride|English Bitter|4|8802
54216|Welsh Honey Bitter|English Bitter|4.5|8802
39314|Telford Porter|English Porter|5.6|8802
45855|Celebration Ale|English Bitter|4.2|8802
45628|Honey Fayre|English Bitter|4.5|8802
55951|Holiday Imperial|American Double / Imperial IPA|9|2724
8769|Columbus India Pale Ale|American IPA|7|2724
64800|Holiday XXII Imperial Blue|American Strong Ale|9|2724
68668|Luck O' The Irish|Irish Dry Stout|4.5|2724
68672|Old Oakland Ale|English Strong Ale|8|2724
69087|Yellowjacket Ale|American Blonde Ale|4.1|2724
64803|Megalodon|American Strong Ale|NA|2724
15894|Code Blue|American Barleywine|10.4|2724
44082|Orca Porter|American Porter|5.1|2724
39606|Leviathan Imperial Stout|American Double / Imperial Stout|10|2724
31973|Mt. Takhoma Blonde Ale|American Blonde Ale|3.8|1386
41584|Holiday Trappist Style Ale|Belgian Strong Pale Ale|NA|2724
12835|Deviator Doppelbock|Doppelbock|8|2724
51834|Blue Whale Ale|American Amber / Red Ale|7.1|2724
41084|Grey Whale Ale|American Pale Ale (APA)|4.6|2724
8770|Killer Whale Stout|American Stout|5|2724
37498|Emerald Ale|American Amber / Red Ale|NA|2724
70395|Schinderhannes Bock|Maibock / Helles Bock|7.1|7345
30090|City Razz|Fruit / Vegetable Beer|NA|12770
30084|City Light|Light Lager|NA|12770
30088|City Pale Ale|American Pale Ale (APA)|NA|12770
27689|City Stout|American Stout|NA|12770
30089|City Pumpkin|Pumpkin Ale|NA|12770
30085|City Amber|American Amber / Red Ale|NA|12770
1415|Amstel Gold|Dortmunder / Export Lager|7|163
66308|Amstel Sterk (Strong)|Euro Strong Lager|7.5|163
1419|Amstel Oud Bruin|Euro Dark Lager|NA|163
59239|Amstel Malt|Low Alcohol Beer|0.1|163
34801|St. Stephen's Bock|Weizenbock|NA|3207
20114|North Beach Ale|American Pale Ale (APA)|NA|3207
20575|Hefeweizen|Hefeweizen|5|9020
53679|Ballz Deep Double IPA|American Double / Imperial IPA|8.4|20658
51814|Pacific Pilsner|American Pale Lager|4.5|15636
