name|numLocations|type|address|website|state|brewery_id
10 Barrel Brewing Co|1|ContractBrewery|20750 Highdesert Lane #100, Bend, Oregon, 97701|http://www.10barrel.com/|oregon|28004
16 Mile Brewing Co|1|Microbrewery|413 S Bedford St, Georgetown, Delaware, 19947|https://16milebrewery.com/|delaware|28005
21st Amendment|1|Brewpub|563 2nd. St. , San Francisco, California, 94107|http://www.21st-amendment.com/|california|28006
23rd Street Brewery|1|Brewpub|3512 Clinton Pkwy, Lawrence, Kansas, 66047|http://www.brew23.com/|kansas|9167
2nd Street Brewery|1|Brewpub|1814 2nd St., Santa Fe, New Mexico, 87504|http://www.secondstreetbrewery.com/|new-mexico|28008
5 Seasons Brewing Co - North|1|Brewpub|3655 Old Milton Parkway , Alpharetta , Georgia, 30005|http://www.5seasonsbrewing.com/|georgia|28009
5 Seasons Brewing Co - Sandy Springs|1|Brewpub|5600 Roswell Rd, Atlanta, Georgia, 30342|http://www.5seasonsbrewing.com/|georgia|28010
5 Seasons Brewing Co - Westside|2|Brewpub|1000 Marietta Street, Ste 204, Atlanta, Georgia, 30318|http://www.5seasonsbrewing.com/|georgia|28011
7 Bears, LLC|1|ContractBrewery|Cincinnati, Ohio|-|ohio|28012
7 Seas Brewing Co.|1|Mircobrewery|3207 57th St Ct NW, Gig Harbor, Washington, 98335|http://www.7seasbrewing.com|washington|28013
75th Street Brewery|1|Brewpub|520 W. 75th St., Kansas City, Missouri, 64114|http://75thstreet.com/|missouri|2143
A.J. Gordon's Brewing Co.|1|Brewpub-Closed|33 Canada St., Lake George, New York, 12845|-|new-york|28015
A1A Aleworks|1|Brewpub|1 King St., St. Augustine, Florida, 32084|http://www.a1aaleworks.com/|florida|3972
AMF Keglers Lanes & Brewery|1|Brewpub|PO Box 6190, Charlottesville, Virginia, 22906|-|virginia|28017
Abbey Beverage Co, LLC|1|Microbrewery|235 Don Gasper (The Monk's Corner), Santa Fe, New Mexico, 87501|http://www.monksale.com/|new-mexico|28018
Abbey Brewing Company|1|ContractBrewery|1115 16th St., Miami Beach, Florida, 33139|http://www.abbeybrewingcompany.com/|florida|28019
Abbey Wright Brewing / Valley Inn|1|Brewpub|204 Valley St., Williamsport, Pennsylvania, 17702|http://www.abbeywright.com/|pennsylvania|28020
Abita Brewing Company (Brewery)|1|Microbrewery|21084 Hwy. 36, Abita Springs, Louisiana, 70432|http://www.abita.com/|louisiana|28021
Abita Brewing Company (Pub)|1|Brewpub|72011 Holly St., Abita Springs, Louisiana, 70420|http://www.abita.com/|louisiana|28022
Abraxus Brewing Co LLC|1|ContractBrewery|1714 E 9th St. #17, The Dalles, Oregon, 97058|-|oregon|28023
Academy of Fine Beers|1|ContractBrewery|217 N Main St, Ste. 123, Santa Ana, California, 92701|http://www.bierbitzch.com/|california|630
Acadian Brewing Co. LLC|1|Microbrewery|201 N. Carrollton Ave., New Orleans, Louisiana, 70119|-|louisiana|28025
Adirondack Pub & Brewery|1|Brewpub|212 W. 79th St., New York, New York, 10024|http://www.adkpub.com/|new-york|7216
Adler Brau|1|Microbrewery|1004 S. Olde Oneida St., Appleton, Wisconsin, 54915|-|wisconsin|28027
Adolph Coors Co.|1|Microbrewery|Golden, Colorado, 80401|http://www.anheuser-busch.com/|colorado|28028
Aiken Brewing Co.|1|Brewpub|140 Laurens St. SW, Aiken, South Carolina, 29801|http://www.aikenbrewingcompany.com/|south-carolina|28029
Alameda Brewing Co.|1|Brewpub|4765 NE Fremont, Portland, Oregon, 97213|http://www.alamedabrewhouse.com/|oregon|28030
Alamogordo Brewing Co.|1|Brewpub|817 Scenic Dr., Alamogordo, New Mexico, 88310|-|new-mexico|28031
Alaskan Brewing & Bottling Company|1|Brewpub|5429 Shaune Dr., Douglas , Alaska, 99801|http://www.alaskanbeer.com/|alaska|28032
Alcatraz Brewing Company|4|Brewpub|20 City Blvd. W. Bldg. A-2, Orange, California, 92868|http://www.alcatrazbrewing.com/|california|28033
Alchemist Pub & Brewery, The|1|Brewpub|23 South Main Street, Waterbury, Vermont, 5676|http://www.alchemistbeer.com/|vermont|28034
Ale Asylum|1|Brewpub|3698 Kinsman Blvd., Madison, Wisconsin, 53704|http://www.aleasylum.com/|wisconsin|13837
Ale Industries|1|Microbrewery|975 Detroit Ave, Unit E, Concord, California, 94518|http://aleindustries.com/|california|19890
AleSmith Brewing Co.|1|Microbrewery|9368 Cabot Dr., San Diego, California, 92126|http://www.alesmith.com/|california|28037
All American Brewing Co.|1|Microbrewery|6528 Riverside Dr., Dublin, Ohio, 43017|-|ohio|28038
Allagash Brewing Co.|1|Microbrewery|100 Industrial Way, Portland, Maine, 4103|http://www.allagash.com/|maine|28039
Allentown Brew Works|1|Brewpub|812 Hamilton St., Allentown, Pennsylvania, 18101|http://www.thebrewworks.com/|pennsylvania|16096
Alltechs Lexington Brewing Co|1|Microbrewery|401 Cross St., Lexington, Kentucky, 40508|http://www.kentuckyale.com/|kentucky|28041
Alpine Beer Company|1|Brewpub|PO Box 2530/2351 Alpine Blvd., Alpine, California, 91901|http://www.alpinebrewing.com/|california|3120
Alpine Brewing Co|1|Microbrewery|PO Box 2320/821 14th Ave, Oroville, Washington, 98844|http://www.alpine-brewing.com/|washington|28043
Alt Platz Brewing Co|1|Brewpub|615 High St., Portsmouth, Virginia, 23704|http://www.altplatzbrewing.com/|virginia|28044
Altitude Chophouse and Brewery|1|Brewpub|320 S 2nd St., Laramie, Wyoming, 82070|Http://www.altitudechophouse.com/|wyoming|28045
Ambassador Brewing Co|1|Microbrewery|1051 Fox Hills Dr, East Lansing, Michigan, 48823|-|michigan|28046
American Beerguy Inc.|1|Microbrewery|46 Varda Landing, Sausalito, California, 94965|http://www.beerguy.com/|california|28047
American Flatbread/Zero Gravity Brewing|1|Brewpub|115 St. Paul St., Burlington, Vermont, 5401|http://www.americanflatbread.com/|vermont|28048
American U-Brew & Gravity Brewing Co.|1|BOP-BrewOnPremise|100 Spring Garden St., Philadelphia, Pennsylvania, 19123|-|pennsylvania|28049
Americas Brewing Co.|1|Brewpub|205 N. Broadway, Aurora, Illinois, 60505|http://www.auroraroundhouse.com/|illinois|28050
Amherst Brewing Co|1|Brewpub|24 N Pleasant St., Amherst, Massachusetts, 1002|http://www.amherstbrewing.com/|massachusetts|28051
Amicas Pizza, Microbrews & More|1|Brewpub|136 East Second St., Salida, Colorado, 81201|http://www.amicassalida.com/|colorado|28052
Amnesia Brewing Company|1|Brewpub|832 N Beech Ave., Portland, Oregon, 97227|-|oregon|28053
Amos Howards Restaurant & Brewworks|1|Brewpub|2828 Hwy. 70 W, Hickory, North Carolina, 28602|http://www.oldehickorybrewery.com/|north-carolina|28054
Anacapa Brewing Company|1|Brewpub|472 E. Main St., Ventura, California, 93001|http://www.anacapabrewing.com/|california|3965
Anacortes Brewhouse/Rockfish Grill|1|Microbrewery-Closed|320 Commercial St., Anacortes, Washington, 98221|http://www.anacortesrockfish.com/|washington|28056
Anchor Brewing Co.|1|RegionalBrewery|1705 Mariposa St., San Francisco, California, 94107|http://www.anchorbrewing.com/|california|28057
Anderson Valley Brewing Company|1|Brewpub|17700 Hwy 253, Boonville, California, 95415|http://www.avbc.com/main.html|california|193
Andrew's Brewing Co.|1|Brewpub|RFD #1 Box 4975, Lincolnville, Maine, 4849|-|maine|338
Angel City Brewing Company|1|Microbrewery|833 W. Torrance Blvd. Suite 105, Torrance, California, 90502|http://www.angelcitybrewing.com/|california|28060
Angry Minnow, The|1|Brewpub|10440 Florida Ave., Hayward, Wisconsin, 54843|http://www.angryminnow.com/|wisconsin|28061
Anheuser-Busch Inc.|1|Microbrewery|111 Busch Dr, Jacksonville, Florida, 32218|http://www.anheuser-busch.com/|florida|28062
Anheuser-Busch Inc. - Baldwinsville|1|Microbrewery|2885 Belgium Rd, Baldwinsville, New York, 13027|http://www.anheuser-busch.com/|new-york|28063
Anheuser-Busch Inc. - Catersville|1|Microbrewery|100 Busch Dr., Catersville, Georgia, 30120|http://www.anheuser-busch.com/|georgia|28064
Anheuser-Busch Inc. - Columbus|1|Microbrewery|700 E Schrock Rd., Columbus, Ohio, 43229|http://www.anheuser-busch.com/|ohio|28065
Anheuser-Busch Inc. - Houston|1|Microbrewery|775 Gellhorn Dr., Houston, Texas, 77029|http://www.anheuser-busch.com/|texas|28066
Anheuser-Busch Inc. - Merrimack|1|Microbrewery|221 Daniel Webster Hwy, Merrimack, New Hampshire, 3054|http://www.anheuser-busch.com/|new-hampshire|28067
Anheuser-Busch Inc. - Newark|1|Microbrewery|200 US Hwy 1, Newark, New Jersey, 7114|http://www.anheuser-busch.com/|new-jersey|28068
Anheuser-Busch Inc. - Williamsburg|1|Microbrewery|7801 Pocahontas Trail, Williamsburg, Virginia, 23185|http://www.anheuser-busch.com/|virginia|28069
Anheuser-Busch Inc.- Fort Collins|1|Microbrewery|2351 Busch Dr., Fort Collins, Colorado, 80524|http://www.anheuser-busch.com/|colorado|28070
Anheuser-Busch Inc.- Los Angeles|1|Microbrewery|15800 Roscoe Blvd., Van Nuys, California, 91406|http://www.anheuser-busch.com/|california|28071
Anheuser-Busch, Inc.|1|Microbrewery|One Busch Place 37-5, St. Louis, Missouri, 63118|http://www.anheuser-busch.com/|missouri|28072
Appalachian Brewing Co.|1|Brewpub|50 N. Cameron St., Harrisburg, Pennsylvania, 17101|http://www.abcbrew.com/|pennsylvania|28073
Appalachian Brewing Co. - Camp Hill|1|Brewpub|3721 Market St., Camp Hill, Pennsylvania, 17011|http://www.abcbrew.com/|pennsylvania|28074
Appalachian Brewing Co. - Gettysburg|1|Brewpub|401 Buford Ave., Gettysburg, Pennsylvania, 17325|http://www.abcbrew.com/|pennsylvania|28075
Appleton Brewing Company|1|Microbrewery|1004 S. Olde Oneida St., Appleton, Wisconsin, 54915|-|wisconsin|28076
Arbor Brewing Co.|1|Brewpub|114 E. Washington, Ann Arbor, Michigan, 48104|http://www.arborbrewing.com/|michigan|28077
Arbor Corner Brewery, The|1|Microbrewery|720 Norris St., Ypsilante, Michigan, 48198|http://www.cornerbrewery.com/blog/2007/01/its-winter-beer-fest-time-again-for.html|michigan|28078
Arcadia Brewing Co.|1|Microbrewery|103 W. Michigan Ave., Battle Creek, Michigan, 49017|http://www.arcadiabrewingcompany.com/|michigan|28079
Arctic Craft Brewery|1|Microbrewery-Closed|2506 Platte Pl, Colorado Springs, Colorado, 80909|http://www.arcticcraftbrewery.com/|colorado|12015
Arena Brewing Company|1|Brewpub-Closed|25 Ottawa SW, Grand Rapids, Michigan, 49505|-|michigan|28081
Armadillo Brewing Company|1|Microbrewery|419 E. 6th St., Austin, Texas, 78701|-|texas|28082
Arrowhead Brewing Co.|1|Brewpub|34.5 Depot St., Pittsfield, Massachusetts, 1201|http://arrowheadbrewing.com/|massachusetts|28083
